material/bg-amber-050  "#fff8e1"
material/bg-amber-100  "#ffecb3"
material/bg-amber-200  "#ffe082"
material/bg-amber-300  "#ffd54f"
material/bg-amber-400  "#ffca28"
material/bg-amber-500  "#ffc107"
material/bg-amber-600  "#ffb300"
material/bg-amber-700  "#ffa000"
material/bg-amber-800  "#ff8f00"
material/bg-amber-900  "#ff6f00"
material/bg-amber-A100 "#ffe57f"
material/bg-amber-A200 "#ffd740"
material/bg-amber-A400 "#ffc400"
material/bg-amber-A700 "#ffab00"
material/bg-blue-100  "#bbdefb"
material/bg-blue-200  "#90caf9"
material/bg-blue-300  "#64b5f6"
material/bg-blue-400  "#42a5f5"
material/bg-blue-50   "#e3f2fd"
material/bg-blue-A100 "#82b1ff"
material/bg-blue-grey-050 "#eceff1"
material/bg-blue-grey-100 "#cfd8dc"
material/bg-blue-grey-200 "#b0bec5"
material/bg-blue-grey-300 "#90a4ae"
material/bg-brown-050 "#efebe9"
material/bg-brown-100 "#d7ccc8"
material/bg-brown-200 "#bcaaa4"
material/bg-cyan-050  "#e0f7fa"
material/bg-cyan-100  "#b2ebf2"
material/bg-cyan-200  "#80deea"
material/bg-cyan-300  "#4dd0e1"
material/bg-cyan-400  "#26c6da"
material/bg-cyan-500  "#00bcd4"
material/bg-cyan-600  "#00acc1"
material/bg-cyan-A100 "#84ffff"
material/bg-cyan-A200 "#18ffff"
material/bg-cyan-A400 "#00e5ff"
material/bg-cyan-A700 "#00b8d4"
material/bg-deep-orange-050  "#fbe9e7"
material/bg-deep-orange-100  "#ffccbc"
material/bg-deep-orange-200  "#ffab91"
material/bg-deep-orange-300  "#ff8a65"
material/bg-deep-orange-400  "#ff7043"
material/bg-deep-orange-A100 "#ff9e80"
material/bg-deep-orange-A200 "#ff6e40"
material/bg-deep-purple-050  "#ede7f6"
material/bg-deep-purple-100  "#d1c4e9"
material/bg-deep-purple-200  "#b39ddb"
material/bg-deep-purple-A100 "#b388ff"
material/bg-green-050  "#e8f5e9"
material/bg-green-100  "#c8e6c9"
material/bg-green-200  "#a5d6a7"
material/bg-green-300  "#81c784"
material/bg-green-400  "#66bb6a"
material/bg-green-500  "#4caf50"
material/bg-green-A100 "#b9f6ca"
material/bg-green-A200 "#69f0ae"
material/bg-green-A400 "#00e676"
material/bg-green-A700 "#00c853"
material/bg-grey-050 "#fafafa"
material/bg-grey-100 "#f5f5f5"
material/bg-grey-200 "#eeeeee"
material/bg-grey-300 "#e0e0e0"
material/bg-grey-400 "#bdbdbd"
